28089 individus au total dans la vague
196 bacs dans le fichier

Id Bac;Nombre d'individus
02691;8914;0;0;0
02691;8985;56;63;56
02691;9017;0;0;0
02691;9108;20;21;20
02691;9386;0;0;0
02691;9832;6;6;6
02691;9927;5;5;5
02691;9931;12;13;12
02691;10037;2;2;2
02691;10120;6;6;6
02691;10204;3;3;3
02691;10306;6;6;6
02691;10470;3;3;3
02691;10520;0;0;0
02691;10666;0;0;0
02691;10754;12;13;12
02691;10924;0;0;0
02691;10948;0;0;0
02691;10987;5;5;5
02691;11027;2;2;2
02691;11211;3;3;3
02691;11264;0;0;0
02691;11363;0;0;0
02691;11417;5;5;5
02691;11451;6;6;6
02691;11473;0;0;0
02691;11524;6;6;6
02691;11605;0;0;0
02691;11637;6;6;6
02691;11665;0;0;0
02691;11844;20;21;20
02691;11859;0;0;0
02691;11870;0;0;0
02691;11886;0;0;0
02691;12030;2;2;2
02691;12042;3;3;3
02691;12225;16;16;16
02691;12233;0;0;0
02691;12363;2;2;2
02691;12568;2;2;2
02691;12662;6;6;6
02691;12786;6;6;6
02691;12871;4;4;4
02691;13038;3;3;3
02691;13072;2;2;2
02691;13176;5;5;5
02691;13226;0;0;0
02691;13326;0;0;0
02691;13343;3;3;3
02691;13590;2;2;2
02691;13617;0;0;0
02691;13808;6;6;6
02691;13819;12;13;12
02691;14289;0;0;0
02691;14354;20;21;20
02691;14698;0;0;0
02691;14895;21;23;21
02691;15391;0;0;0
02691;15403;6;6;6
02691;15438;0;0;0
02691;15441;3;3;3
02691;15452;6;6;6
02691;15516;2;2;2
02691;15874;5;5;5
02691;15936;6;6;6
02691;16078;1;1;1
02691;16089;4;4;4
02691;16210;2;2;2
02691;23014;0;0;0
02691;23262;6;6;6
02691;23413;6;6;6
02691;23516;2;2;2
02691;23522;0;0;0
02691;23559;6;6;6
02691;23644;2;2;2
02691;23674;12;13;12
02691;23732;6;6;6
02691;23932;0;0;0
02691;25647;6;6;6
02722;7035;2;2;2
02722;8299;14;15;14
02722;8475;14;15;14
