258 lignes;;Supports TNS;CODE GROUPE CODIPRESSE;CODE MEDIA CODIPRESSE;Supports CodiPresse;CATEGORY;PERIODICITY
167;8604;PARIS COURSES AF;101;621;PARIS COURSES;QUOTIDIENS NAT.;QUOTIDIENNE
168;1370;PARIS MATCH;101;360;PARIS MATCH;MAGAZINES;HEBDOMADAIRE
169;8587;PARIS TURF;101;619;PARIS TURF;QUOTIDIENS NAT.;QUOTIDIENNE
170;1373;PARISCOPE-SEMAINE PARIS;101;361;PARISCOPE;MAGAZINES IDF;HEBDOMADAIRE
171;5713;PARISIEN DIMANCHE ;101;22;LE PARISIEN - AUJOURD'HUI EN FRANCE;QUOTIDIENS NAT.;QUOTIDIENNE
172;8178;PARISIEN ECONOMIE;101;227;LE PARISIEN - AUJOURD'HUI EN FR. ECONOMIE;QUOTIDIENS NAT.;QUOTIDIENNE
173;15219;PARISIEN PARISIENNE SUP;101;630;LA PARISIENNE;SUPPLEM. QUOT. NAT.;SUPPLEMENT
174;4191;PARISIEN TED;101;224;LE PARISIEN;QUOTIDIENS NAT.;QUOTIDIENNE
175;5262;PARISOBS;101;523;TELEOBS;MAGAZINES IDF;HEBDOMADAIRE
176;1504;PECHE ET POISSONS;101;172;LA PECHE ET LES POISSONS;MAGAZINES;MENSUEL
177;8577;PECHE MOUCHE;101;362;PECHE MOUCHE;MAGAZINES;BIMESTRIEL
178;1374;PELERIN;101;232;PELERIN;MAGAZINES;HEBDOMADAIRE
179;1894;PHOSPHORE;101;363;PHOSPHORE;MAGAZINES;MENSUEL
180;1506;PHOTO;101;364;PHOTO;MAGAZINES;MENSUEL
181;1426;PICSOU MAGAZINE;101;701;PICSOU MAGAZINE;MAGAZINES;MENSUEL
182;6267;PLEINE VIE;101;366;PLEINE VIE;MAGAZINES;MENSUEL
183;6675;POINT;101;236;LE POINT;MAGAZINES;HEBDOMADAIRE
184;6672;POINT DE VUE;101;370;POINT DE VUE;MAGAZINES;HEBDOMADAIRE
185;1309;POMME D API;101;371;POMME D'API;MAGAZINES;MENSUEL
186;1626;PREMIERE;101;375;PREMIERE;MAGAZINES;MENSUEL
187;1967;PRIMA;101;378;PRIMA;MAGAZINES;MENSUEL
188;9985;PRIMA MAISON;101;380;PRIMA MAISON;MAGAZINES;BIMESTRIEL
189;6353;PROPRIETES DE FRANCE;101;381;PROPRIETES DE FRANCE;MAGAZINES;BIMESTRIEL
190;6036;PSYCHOLOGIES;101;382;PSYCHOLOGIES MAGAZINE;MAGAZINES;MENSUEL
191;9404;PUBLIC;101;383;PUBLIC;MAGAZINES;HEBDOMADAIRE
192;1605;PYRENEES MAGAZINE;101;634;PYRENEES MAGAZINE;MAGAZINES;BIMESTRIEL
193;8902;REGAL;101;582;REGAL;MAGAZINES;BIMESTRIEL
194;6429;REPONSE A TOUT;101;645;REPONSE A TOUT;MAGAZINES;MENSUEL
195;1869;REPONSES PHOTO;101;384;REPONSES PHOTO;MAGAZINES;MENSUEL
196;9327;RESIDENCES DECORATION;101;866;RESIDENCES DECORATION;MAGAZINES;BIMESTRIEL
197;9109;REVENU PLACEMENT;101;240;LE REVENU PLACEMENTS - TARIFS CAPTIFS;MAGAZINES;MENSUEL
198;6501;REVUE DU VIN DE FRANCE;101;613;LA REVUE DU VIN DE FRANCE;MAGAZINES;MENSUEL
199;1517;REVUE NAT.DE LA CHASSE;101;180;LA REVUE NATIONALE DE LA CHASSE;MAGAZINES;MENSUEL
200;1387;RUSTICA L HEBDO JARDIN;101;390;RUSTICA;MAGAZINES;HEBDOMADAIRE
201;1592;SANTE MAGAZINE;101;508;SANTE MAGAZINE;MAGAZINES;MENSUEL
202;6344;SAVEURS;101;392;SAVEURS;MAGAZINES;MENSUEL
203;1388;SCIENCE ET VIE;101;393;SCIENCE & VIE;MAGAZINES;MENSUEL
204;9442;SCIENCE VIE DECOUVERTES;101;394;SCIENCE & VIE DÉCOUVERTES;MAGAZINES;MENSUEL
205;6293;SCIENCE VIE JUNIOR;101;396;SCIENCE & VIE JUNIOR;MAGAZINES;MENSUEL
206;1390;SCIENCES ET AVENIR;101;398;SCIENCES ET AVENIR;MAGAZINES;MENSUEL
207;1391;SELECTION READER S DIG.;101;399;SELECTION DU READER'S DIGEST;MAGAZINES;MENSUEL
208;4260;SERIES MAG;101;401;SERIES MAG;MAGAZINES;BIMESTRIEL
209;1520;SKI MAGAZINE;101;780;SKI MAGAZINE;MAGAZINES;TRIMESTRIEL
210;13407;SPORT;101;404;SPORT;MAGAZINES GRATUITS;MENSUEL
211;1525;SPORT AUTO;101;405;SPORT AUTO;MAGAZINES;MENSUEL
212;1724;STAR CLUB;101;407;STAR CLUB;MAGAZINES;MENSUEL
213;2495;STUDIO CINE LIVE;101;410;STUDIO MAGAZINE/CINE LIVE;MAGAZINES;MENSUEL
214;19579;STYLIST;101;867;STYLIST;MAGAZINES GRATUITS;HEBDOMADAIRE
215;1395;SYSTEME D;101;414;SYSTEME D;MAGAZINES;MENSUEL
216;5120;TECHNIKART;101;416;TECHNIKART;MAGAZINES;MENSUEL
217;6069;TELE LOISIRS;101;424;TELE LOISIRS ;MAGAZINES;HEBDOMADAIRE
218;6169;TELE MAGAZINE/SUPER T.;101;426;TELE MAGAZINE;MAGAZINES;HEBDOMADAIRE
219;1399;TELE POCHE;101;427;TELE POCHE;MAGAZINES;HEBDOMADAIRE
220;1614;TELE STAR;101;429;TELE STAR;MAGAZINES;HEBDOMADAIRE
221;1925;TELE STAR  JEUX;101;431;TELE STAR JEUX;MAGAZINES;MENSUEL
222;1962;TELE Z;101;433;TELE Z;MAGAZINES;HEBDOMADAIRE
223;9510;TELE 2 SEMAINES;101;419;TELE 2 SEMAINES;MAGAZINES;BIMENSUEL
224;1888;TELE 7 JEUX;101;421;TELE 7 JEUX;MAGAZINES;MENSUEL
225;1400;TELE 7 JOURS;101;422;TELE 7 JOURS;MAGAZINES;HEBDOMADAIRE
